drug,rank_std,rank_mean,median_rank_s_score,median_rank_entropy,median_rank_gini,median_rank_ratio
BMS-690514,54.35853198900794,145.5,167.0,183.0,174.0,36.0
BMS-754807,19.542688317288047,146.0,161.0,154.0,140.0,104.0
BMS-777607,19.4684145904762,104.65,115.0,110.0,98.0,77.0
BMS-911543,89.05263736814436,93.16666666666667,21.0,32.0,214.5,208.0
BYL-719,72.515869910585,71.91666666666667,21.0,32.0,209.5,150.0
Bafetinib,19.041621079449442,176.5,182.5,167.0,160.0,209.0
Barasertib,22.701939466828723,102.11666666666666,95.0,105.0,97.0,128.0
Barasertib_HQPA,31.801821226674008,91.95,114.0,105.0,94.0,37.0
Baricitinib,31.47450908627841,159.78333333333333,159.0,173.0,164.0,179.0
Binimetinib,35.1248131667629,63.85,61.5,56.0,49.0,44.0
Bosutinib,29.62063845061788,182.86666666666667,199.0,202.0,193.0,141.0
Brivanib,64.12916653130618,75.5,30.0,51.0,64.0,147.0
Brivanib_alaninate,62.738755079208325,70.41666666666667,30.0,45.0,57.0,139.0
CC-401,28.90109571163926,153.1,159.0,169.0,158.0,169.0
CEP-32496,21.72229397544273,149.68333333333334,160.0,160.0,148.0,133.0
CH-5183284,35.29101632616059,45.55,62.5,40.0,31.0,9.0
CP-547632,32.695242603303754,148.26666666666668,157.0,164.0,156.0,75.0
CP-724714,15.307668738975972,41.31666666666667,48.0,40.0,33.0,53.0
CUDC-101,35.8377090351614,81.18333333333334,61.5,97.0,99.0,133.0
Cabozantinib,28.046593177940327,120.38333333333334,108.5,140.0,131.0,138.0
Canertinib,35.248719440884976,78.83333333333333,94.5,86.0,75.0,52.0
Capmatinib,40.11651433290562,32.916666666666664,62.5,13.5,13.5,1.0
Cediranib,36.11005169386127,116.35,108.5,115.0,109.0,88.0
Cerdulatinib,37.85144940715246,176.03333333333333,195.0,194.0,185.0,76.0
Ceritinib,14.576284010527356,85.41666666666667,90.5,92.0,80.0,85.0
Cobimetinib,21.95463125022448,49.45,62.5,47.0,35.0,32.0
Crenolanib,18.22422837872704,192.05,203.5,203.0,194.0,153.0
Crizotinib,34.102480359449906,118.75,128.5,144.0,134.0,64.0
Cyc-116,8.705505920584589,205.85,207.0,208.0,201.0,218.0
Dabrafenib,27.25150862286751,187.71666666666667,197.0,199.0,193.0,199.0
Dacomitinib,30.235942555545083,65.56666666666666,83.5,64.0,52.0,27.0
Danusertib,16.0896878638324,207.11666666666667,216.0,218.0,211.0,181.0
Dasatinib,9.752549524212744,209.43333333333334,216.5,209.0,202.0,218.0
Decernotinib,36.775463589494315,143.58333333333334,140.0,152.0,144.0,187.0
Defactinib,56.70015921984307,125.98333333333333,142.5,163.0,157.0,22.0
Dinaciclib,20.344402724637117,190.11666666666667,204.0,196.0,186.0,173.0
Dovitinib,58.3749946466807,153.1,167.5,191.0,184.0,33.0
ENMD-2076,26.469080494460364,126.26666666666667,137.5,142.0,135.0,81.0
Encorafenib,26.555894930420916,143.96666666666667,150.0,153.0,143.0,172.0
Entrectinib,34.94101776168265,50.016666666666666,67.5,45.0,36.0,5.0
Enzastaurin,33.21428742106158,76.16666666666667,61.5,72.0,66.0,117.0
Erlotinib,35.10035216664104,82.08333333333333,61.5,97.0,85.0,123.0
Fasudil,46.689506315659415,81.8,48.0,98.0,95.0,158.0
Fedratinib,39.398759145717044,136.76666666666668,102.0,158.0,149.0,149.0
Filgotinib,79.11451088980664,95.55,30.0,56.5,209.5,208.0
Foretinib,29.856527296760795,181.73333333333332,195.0,203.0,191.0,139.0
Fostamatinib,22.77150387850765,117.98333333333333,118.5,124.0,114.0,112.0
GDC-0994,24.238170081276536,121.33333333333333,127.0,126.0,118.0,109.0
GSK-1059615,44.23279326472612,160.9,196.0,178.0,170.0,68.0
GSK-1070916,25.576079319030377,144.65,149.0,161.0,152.0,115.0
GSK-2110183,25.66439925049657,79.78333333333333,94.5,79.0,70.0,41.0
GSK-461364,27.960209822770167,52.1,45.0,37.0,30.0,84.0
